Timestamp,PM2_5,PM10,Temperature
2023-01-01 00:00:00,10,20,25
2023-01-01 01:00:00,11,21,26
2023-01-01 02:00:00,12,22,27
2023-01-01 03:00:00,13,23,28
2023-01-01 04:00:00,14,24,29
2023-01-01 05:00:00,15,25,25
2023-01-01 06:00:00,16,26,26
2023-01-01 07:00:00,17,27,27
2023-01-01 08:00:00,18,28,28
2023-01-01 09:00:00,19,29,29
2023-01-01 10:00:00,20,30,25
2023-01-01 11:00:00,21,31,26
2023-01-01 12:00:00,22,32,27
2023-01-01 13:00:00,23,33,28
2023-01-01 14:00:00,24,34,29
2023-01-01 15:00:00,25,35,25
2023-01-01 16:00:00,26,36,26
2023-01-01 17:00:00,27,37,27
2023-01-01 18:00:00,28,38,28
2023-01-01 19:00:00,29,39,29
2023-01-01 20:00:00,10,40,25
2023-01-01 21:00:00,11,41,26
2023-01-01 22:00:00,12,42,27
2023-01-01 23:00:00,13,43,28
2023-01-02 00:00:00,14,44,29
2023-01-02 01:00:00,15,45,25
2023-01-02 02:00:00,16,46,26
2023-01-02 03:00:00,17,47,27
2023-01-02 04:00:00,18,48,28
2023-01-02 05:00:00,19,49,29
2023-01-02 06:00:00,20,20,25
2023-01-02 07:00:00,21,21,26
2023-01-02 08:00:00,22,22,27
2023-01-02 09:00:00,23,23,28
2023-01-02 10:00:00,24,24,29
2023-01-02 11:00:00,25,25,25
2023-01-02 12:00:00,26,26,26
2023-01-02 13:00:00,27,27,27
2023-01-02 14:00:00,28,28,28
2023-01-02 15:00:00,29,29,29
2023-01-02 16:00:00,10,30,25
2023-01-02 17:00:00,11,31,26
2023-01-02 18:00:00,12,32,27
2023-01-02 19:00:00,13,33,28
2023-01-02 20:00:00,14,34,29
2023-01-02 21:00:00,15,35,25
2023-01-02 22:00:00,16,36,26
2023-01-02 23:00:00,17,37,27
2023-01-03 00:00:00,18,38,28
2023-01-03 01:00:00,19,39,29
2023-01-03 02:00:00,20,40,25
2023-01-03 03:00:00,21,41,26
2023-01-03 04:00:00,22,42,27
2023-01-03 05:00:00,23,43,28
2023-01-03 06:00:00,24,44,29
2023-01-03 07:00:00,25,45,25
2023-01-03 08:00:00,26,46,26
2023-01-03 09:00:00,27,47,27
2023-01-03 10:00:00,28,48,28
2023-01-03 11:00:00,29,49,29
2023-01-03 12:00:00,10,20,25
2023-01-03 13:00:00,11,21,26
2023-01-03 14:00:00,12,22,27
2023-01-03 15:00:00,13,23,28
2023-01-03 16:00:00,14,24,29
2023-01-03 17:00:00,15,25,25
2023-01-03 18:00:00,16,26,26
2023-01-03 19:00:00,17,27,27
2023-01-03 20:00:00,18,28,28
2023-01-03 21:00:00,19,29,29
2023-01-03 22:00:00,20,30,25
2023-01-03 23:00:00,21,31,26
2023-01-04 00:00:00,22,32,27
2023-01-04 01:00:00,23,33,28
2023-01-04 02:00:00,24,34,29
2023-01-04 03:00:00,25,35,25
2023-01-04 04:00:00,26,36,26
2023-01-04 05:00:00,27,37,27
2023-01-04 06:00:00,28,38,28
2023-01-04 07:00:00,29,39,29
2023-01-04 08:00:00,10,40,25
2023-01-04 09:00:00,11,41,26
2023-01-04 10:00:00,12,42,27
2023-01-04 11:00:00,13,43,28
2023-01-04 12:00:00,14,44,29
2023-01-04 13:00:00,15,45,25
2023-01-04 14:00:00,16,46,26
2023-01-04 15:00:00,17,47,27
2023-01-04 16:00:00,18,48,28
2023-01-04 17:00:00,19,49,29
2023-01-04 18:00:00,20,20,25
2023-01-04 19:00:00,21,21,26
2023-01-04 20:00:00,22,22,27
2023-01-04 21:00:00,23,23,28
2023-01-04 22:00:00,24,24,29
2023-01-04 23:00:00,25,25,25
2023-01-05 00:00:00,26,26,26
2023-01-05 01:00:00,27,27,27
2023-01-05 02:00:00,28,28,28
2023-01-05 03:00:00,29,29,29
